http://www.charlespetzold.com/blog/2009/02/Graphical-Paths-with-Gradient-Colors.html
http://mapsys.info/44010/heat-mapping-crime-data-with-bing-maps-and-html5-canvas/
http://mapsys.info/53289/the-onterra-new-heat-map-creator-app/
http://mapsys.info/48305/bing-maps-ajax-v7-heatmap-library/

http://vfdemo.idvsolutions.com/collisions/
http://stackoverflow.com/questions/3149649/creating-heat-maps-for-bing-maps-silverlight-application


SIS 	Seal Island	-34.14258333	18.58165
SIN	Seal Island 	-34.1327	18.58141667
MO	Macassar	-34.09341667	18.73695
MI	Macassar	-34.08625	18.73991667
SF01	Strandfontein	-34.1156	18.56886667
SF2	Strandfontein	-34.10911667	18.56393333
SF3	Strandfontein	-34.10346667	18.5597
STO	Simonstown	-34.18051667	18.44601667
KBO	Koeel Bay	-34.22796667	18.8228
MBC	Muizenberg	-34.1195	18.46888333
GBO	Gordons Bay	-34.15681667	18.84028333
RKI	Cape Point	-34.50926667	18.48141667


GSGB	Gansbaai
RBGB	Gansbaai
GANS	Gansbaai



TransmitterID	DateTime	Date	Time	Site Code	Area	LatDecMin	LongDecMin
604	29/08/2005 18:18:53	29-Aug-05	6:18:53 PM	SIS     	Seal Island	34 08.555	18 34.899
604	29/08/2005 18:25:54	29-Aug-05	6:25:54 PM	SIS     	Seal Island	34 08.555	18 34.899
604	29/08/2005 18:26:40	29-Aug-05	6:26:40 PM	SIS     	Seal Island	34 08.555	18 34.899
604	29/08/2005 19:10:27	29-Aug-05	7:10:27 PM	SIS     	Seal Island	34 08.555	18 34.899
604	29/08/2005 19:15:20	29-Aug-05	7:15:20 PM	SIS     	Seal Island	34 08.555	18 34.899
604	29/08/2005 19:16:01	29-Aug-05	7:16:01 PM	SIS     	Seal Island	34 08.555	18 34.899
604	29/08/2005 19:20:03	29-Aug-05	7:20:03 PM	SIS     	Seal Island	34 08.555	18 34.899
604	29/08/2005 19:29:37	29-Aug-05	7:29:37 PM	SIS     	Seal Island	34 08.555	18 34.899
604	29/08/2005 19:38:20	29-Aug-05	7:38:20 PM	SIS     	Seal Island	34 08.555	18 34.899
604	29/08/2005 19:41:38	29-Aug-05	7:41:38 PM	SIS     	Seal Island	34 08.555	18 34.899
604	29/08/2005 19:42:03	29-Aug-05	7:42:03 PM	SIS     	Seal Island	34 08.555	18 34.899
604	29/08/2005 19:43:50	29-Aug-05	7:43:50 PM	SIS     	Seal Island	34 08.555	18 34.899
604	29/08/2005 19:44:57	29-Aug-05	7:44:57 PM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 04:14:14	30-Aug-05	4:14:14 AM	SIN     	Seal Island	34 07.962	18 34.885
604	30/08/2005 04:16:32	30-Aug-05	4:16:32 AM	SIN     	Seal Island	34 07.962	18 34.885
604	30/08/2005 04:17:25	30-Aug-05	4:17:25 AM	SIN     	Seal Island	34 07.962	18 34.885
604	30/08/2005 04:19:52	30-Aug-05	4:19:52 AM	SIN     	Seal Island	34 07.962	18 34.885
604	30/08/2005 04:41:05	30-Aug-05	4:41:05 AM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 06:39:26	30-Aug-05	6:39:26 AM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 06:47:10	30-Aug-05	6:47:10 AM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 06:47:53	30-Aug-05	6:47:53 AM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 06:48:57	30-Aug-05	6:48:57 AM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 06:49:52	30-Aug-05	6:49:52 AM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 06:50:29	30-Aug-05	6:50:29 AM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 06:51:21	30-Aug-05	6:51:21 AM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 10:48:44	30-Aug-05	10:48:44 AM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 10:49:19	30-Aug-05	10:49:19 AM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 10:51:15	30-Aug-05	10:51:15 AM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 10:52:24	30-Aug-05	10:52:24 AM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 10:54:24	30-Aug-05	10:54:24 AM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 10:55:06	30-Aug-05	10:55:06 AM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 12:05:33	30-Aug-05	12:05:33 PM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 12:06:36	30-Aug-05	12:06:36 PM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 12:07:29	30-Aug-05	12:07:29 PM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 12:08:05	30-Aug-05	12:08:05 PM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 12:09:16	30-Aug-05	12:09:16 PM	SIS     	Seal Island	34 08.555	18 34.899
604	30/08/2005 12:10:04	30-Aug-05	12:10:04 PM	SIS     	Seal Island	34 08.555	18 34.899
604	03/09/2005 02:39:18	03-Sep-05	2:39:18 AM	SIS     	Seal Island	34 08.555	18 34.899
604	03/09/2005 02:42:28	03-Sep-05	2:42:28 AM	SIS     	Seal Island	34 08.555	18 34.899
604	03/09/2005 02:43:59	03-Sep-05	2:43:59 AM	SIS     	Seal Island	34 08.555	18 34.899
604	03/09/2005 02:46:41	03-Sep-05	2:46:41 AM	SIS     	Seal Island	34 08.555	18 34.899
604	03/09/2005 02:47:28	03-Sep-05	2:47:28 AM	SIS     	Seal Island	34 08.555	18 34.899
604	03/09/2005 02:53:15	03-Sep-05	2:53:15 AM	SIS     	Seal Island	34 08.555	18 34.899
604	03/09/2005 02:59:28	03-Sep-05	2:59:28 AM	SIS     	Seal Island	34 08.555	18 34.899
604	03/09/2005 02:59:54	03-Sep-05	2:59:54 AM	SIS     	Seal Island	34 08.555	18 34.899
604	03/09/2005 03:00:25	03-Sep-05	3:00:25 AM	SIS     	Seal Island	34 08.555	18 34.899
604	03/09/2005 03:01:02	03-Sep-05	3:01:02 AM	SIS     	Seal Island	34 08.555	18 34.899
604	03/09/2005 03:01:53	03-Sep-05	3:01:53 AM	SIS     	Seal Island	34 08.555	18 34.899
604	03/09/2005 03:17:50	03-Sep-05	3:17:50 AM	SIS     	Seal Island	34 08.555	18 34.899
604	03/09/2005 03:39:08	03-Sep-05	3:39:08 AM	SIS     	Seal Island	34 08.555	18 34.899
604	03/09/2005 03:56:39	03-Sep-05	3:56:39 AM	SIS     	Seal Island	34 08.555	18 34.899
604	03/09/2005 03:57:11	03-Sep-05	3:57:11 AM	SIS     	Seal Island	34 08.555	18 34.899
604	03/09/2005 04:08:35	03-Sep-05	4:08:35 AM	SIS     	Seal Island	34 08.555	18 34.899
604	03/09/2005 04:09:37	03-Sep-05	4:09:37 AM	SIS     	Seal Island	34 08.555	18 34.899
604	03/09/2005 04:10:27	03-Sep-05	4:10:27 AM	SIS     	Seal Island	34 08.555	18 34.899
